month,route_id,period,num_passengers,avg_additional_stop_time,avg_additional_travel_time,customer_journey_time_performance,date,year,year_month,data_source,frequency,transit_mode
12,1,offpeak,5034590.0,0.9629582,0.7380453,0.8722507,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,1,peak,5552918.0,1.0202761,0.6621421,0.88759506,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,2,offpeak,3078700.2,1.42567,0.7267879,0.8195372,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,2,peak,3672602.5,1.1477195,0.4486904,0.86845934,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,3,offpeak,2344247.5,0.9843538,0.45658174,0.87468547,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,3,peak,2867204.8,0.9594973,0.42821017,0.89333314,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,4,offpeak,4061860.5,0.93630624,0.360165,0.8667969,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,4,peak,4294458.0,0.9324141,0.3694441,0.87778616,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,5,offpeak,2769309.5,1.2185069,0.62145257,0.8560463,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,5,peak,3658115.2,1.0738622,0.32557574,0.87317306,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,6,offpeak,5352619.5,0.9788268,0.57907265,0.8901799,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,6,peak,6026514.0,1.0891222,0.65205234,0.88399976,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,7,offpeak,3937855.5,0.9241231,0.5071857,0.8846832,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,7,peak,4489420.0,0.92569864,0.47618914,0.9102938,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S 42nd,offpeak,356117.38,0.47375047,-0.23318224,0.9862037,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S 42nd,peak,478859.62,0.42204693,-0.2356899,0.9950365,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,A,offpeak,3733422.8,1.7670912,0.9320066,0.7867946,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,A,peak,4675352.5,1.3334132,0.53974754,0.8459163,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,B,offpeak,2108316.0,1.6020979,1.0702657,0.7671015,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,B,peak,2911606.0,1.7316356,1.1212695,0.7654704,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,C,offpeak,2612227.2,2.14858,0.6569301,0.8103602,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,C,peak,2254546.5,1.9919666,0.40765437,0.8319444,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,D,offpeak,3017434.0,1.4033973,0.84956205,0.77066785,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,D,peak,2853317.8,1.2143877,0.9392878,0.79376024,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,E,offpeak,3565661.0,1.4916927,0.08730408,0.83031994,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,E,peak,4059400.8,1.7897754,-0.6252351,0.8569239,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,F,offpeak,4265109.0,2.489218,0.27748182,0.7507287,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,F,peak,4928532.0,2.375978,-0.34841362,0.8129496,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,G,offpeak,1359405.6,1.8876348,1.0775381,0.8065919,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,G,peak,1537754.5,1.4783454,0.6790631,0.82622504,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,JZ,offpeak,1477835.5,1.4524089,0.52393293,0.80447376,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,JZ,peak,1563652.5,1.4040341,0.7525789,0.7903215,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,L,offpeak,2786963.8,0.89251953,0.6581386,0.90802795,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,L,peak,2952364.2,0.9769491,0.592964,0.90568316,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,M,offpeak,1860038.6,2.159854,0.13195711,0.78178036,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,M,peak,2132369.8,1.9315752,0.06498839,0.796122,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,N,offpeak,2671730.8,1.4836915,0.8127969,0.78869635,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,N,peak,2978124.5,1.5859555,0.77863514,0.8047835,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,Q,offpeak,3273206.8,1.489177,0.7693328,0.7827506,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,Q,peak,3641934.2,1.5595517,1.1343263,0.7698424,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,R,offpeak,3487791.5,2.1356428,0.12155514,0.7676927,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,R,peak,4011274.0,2.3063462,0.042992104,0.77041066,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S Fkln,offpeak,194860.36,0.220359,0.041960016,0.9673612,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S Fkln,peak,194189.34,0.5707303,0.057167325,0.9512765,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S Rock,offpeak,26513.352,1.2623241,-0.90806454,0.87004757,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,S Rock,peak,19257.482,0.8787027,-1.183044,0.90587485,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,W,offpeak,1265461.6,0.9385583,0.2576316,0.8875272,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
12,W,peak,1560615.4,1.0150304,0.01021146,0.8992131,2024-12-01,2024,2024-12,subway_metrics,monthly,subway
11,1,offpeak,5068791.5,0.9363785,0.74850494,0.8842822,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,1,peak,5383264.0,0.90336776,0.6391812,0.9060623,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,2,offpeak,3032113.5,1.5831995,0.6436474,0.821965,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,2,peak,3525870.8,1.4489627,0.47885892,0.8672234,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,3,offpeak,2387332.2,0.93723935,0.47048602,0.8730618,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,3,peak,2725367.0,0.97152644,0.4645536,0.8921639,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,4,offpeak,3890383.0,0.9442483,0.47285518,0.8714318,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,4,peak,4055560.8,0.9437293,0.37531948,0.8916997,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,5,offpeak,2767408.2,1.4020407,0.5392692,0.8547595,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,5,peak,3498391.0,1.2329745,0.14479417,0.88549954,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,6,offpeak,5244800.5,1.1911042,0.7499188,0.8667497,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,6,peak,5714858.0,1.2482073,0.82381856,0.8645115,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,7,offpeak,4140123.0,0.8517269,0.5469394,0.89021224,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,7,peak,4577398.0,0.7711771,0.39324623,0.9234023,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S 42nd,offpeak,374035.88,0.64543056,-0.11320886,0.97417486,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S 42nd,peak,467627.34,0.43398687,-0.12632993,0.99531585,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,A,offpeak,3745645.0,2.116199,1.1853607,0.77669865,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,A,peak,4504196.0,2.232473,0.91271836,0.82843655,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,B,offpeak,1991854.5,2.0842826,0.9307903,0.77008253,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,B,peak,2732252.2,2.5050175,1.2451894,0.7482686,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,C,offpeak,2727069.0,2.2487423,0.8726493,0.8119209,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,C,peak,2244385.8,2.4063299,0.6237622,0.830146,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,D,offpeak,3160868.5,1.9992212,1.199888,0.7582762,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,D,peak,2811066.0,2.3674817,1.3495898,0.7545814,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,E,offpeak,3629262.0,1.5103679,0.36684808,0.8341695,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,E,peak,3947307.8,1.5456132,-0.38543588,0.87493265,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,F,offpeak,4318250.5,1.7744378,0.28597668,0.78765124,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,F,peak,4711591.5,1.5931323,-0.33104733,0.8478574,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,G,offpeak,1334406.0,1.1082351,0.91551983,0.83533937,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,G,peak,1461647.6,0.99423397,0.60048157,0.83200973,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,JZ,offpeak,1461708.1,1.7423342,0.7898168,0.7904333,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,JZ,peak,1511027.8,2.9344876,0.71202016,0.78551733,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,L,offpeak,2842896.2,0.74947786,0.54432684,0.91632235,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,L,peak,2873707.0,0.7628244,0.4644929,0.93438417,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,M,offpeak,1818609.6,2.043,0.39361343,0.7767724,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,M,peak,2044397.8,2.6044252,0.26072583,0.79122025,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,N,offpeak,2581011.5,1.4640932,0.8313809,0.7880559,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,N,peak,2852913.5,1.6412561,0.6281711,0.80180615,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,Q,offpeak,3211555.0,1.2226669,0.2632981,0.8243748,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,Q,peak,3460366.2,1.2805818,0.5221607,0.81290805,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,R,offpeak,3405462.8,1.776163,0.12451266,0.791572,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,R,peak,3857288.2,1.6813945,-0.033321623,0.8257433,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S Fkln,offpeak,196903.94,0.22469893,0.021614442,0.9705842,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S Fkln,peak,185786.1,0.2708479,0.03500389,0.96378684,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S Rock,offpeak,34131.715,1.0741476,-0.9585419,0.89396584,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,S Rock,peak,22063.62,0.5820136,-1.2333992,0.924758,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,W,offpeak,1226991.2,0.92883873,0.28659427,0.8912496,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
11,W,peak,1494377.8,1.1251838,-0.051728383,0.9094386,2024-11-01,2024,2024-11,subway_metrics,monthly,subway
10,1,offpeak,5062172.0,0.9354727,0.79718596,0.8837275,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,1,peak,5666852.0,1.0025195,0.66396517,0.902603,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,2,offpeak,3160132.5,1.2490753,0.5433028,0.8381743,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,2,peak,3801006.5,1.0845504,0.4011202,0.8761996,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,3,offpeak,2375433.8,0.91568035,0.38047123,0.88186544,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,3,peak,2934185.8,0.8480211,0.49691474,0.8990549,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,4,offpeak,4205587.0,1.046517,0.41017783,0.8670107,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,4,peak,4498115.0,1.1339024,0.59552413,0.8755408,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,5,offpeak,2921091.2,1.1195511,0.40567914,0.8668351,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,5,peak,3860806.5,1.0603781,0.2877238,0.8843818,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,6,offpeak,5668443.0,1.0895808,0.7160412,0.8735685,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,6,peak,6373271.5,1.240972,0.85250604,0.86349165,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,7,offpeak,4320350.5,1.0346023,0.8990467,0.8540704,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,7,peak,4815329.0,0.83491117,0.5757008,0.9043155,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S 42nd,offpeak,346467.22,0.4740086,-0.097203076,0.98412853,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S 42nd,peak,480210.12,0.35072178,-0.10730598,0.9997111,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,A,offpeak,3925394.5,1.2215014,0.78293294,0.79725826,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,A,peak,4933817.5,0.97143495,0.45082834,0.8550085,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,B,offpeak,2075358.1,1.5911646,1.1331224,0.7570677,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,B,peak,2990318.2,1.5608919,1.112659,0.76104194,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,C,offpeak,2651173.2,1.4984611,0.5370043,0.8326234,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,C,peak,2323297.2,1.4476849,0.350574,0.85016197,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,D,offpeak,3203152.8,1.5308856,1.17336,0.7482124,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
